Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[23]     0.0    0.00    0.00   22063         p_remove [23]
                0.00    0.00   22063/44125       find [20]
-----------------------------------------------
                0.00    0.00       1/21954       KadC_stop [3]
                0.00    0.00       1/21954       stopKadEngine [4]
                0.00    0.00       2/21954       kstore_destroy [171]
                0.00    0.00       2/21954       make_kobject [180]
                0.00    0.00       4/21954       raw_qa_destroy [143]
                0.00    0.00       4/21954       KadCdictionary_destroy [167]
                0.00    0.00       7/21954       processing_thread [351]
                0.00    0.00      10/21954       contact_status_update [100]
                0.00    0.00      12/21954       KadC_find [12]
                0.00    0.00      12/21954       kobject_destroy [157]
                0.00    0.00      25/21954       dns_rr_pack [129]
                0.00    0.00      27/21954       sendOvernetPublish [128]
                0.00    0.00      29/21954       dns_question_pack [126]
                0.00    0.00      30/21954       qa_rbt_destroy [172]
                0.00    0.00      30/21954       print_nstring [123]
                0.00    0.00      48/21954       KadC_parsefilter [153]
                0.00    0.00     113/21954       overnet_republishnow [10]
                0.00    0.00     128/21954       destroy_kbucket [105]
                0.00    0.00     130/21954       dns_msg_destroy [112]
                0.00    0.00     140/21954       DNSpacket_destroy [109]
                0.00    0.00     140/21954       overnet_kboot [181]
                0.00    0.00     157/21954       rbt_destroy [103]
                0.00    0.00     166/21954       Tryadd2buckets [86]
                0.00    0.00     194/21954       sendOvernetSearchInfo [97]
                0.00    0.00     194/21954       OvernetSearchInfoSession_th [219]
                0.00    0.00     227/21954       destroy_knode [94]
                0.00    0.00     569/21954       Overnet_find [146]
                0.00    0.00     639/21954       zfree [83]
                0.00    0.00    1057/21954       deqtw [44]
                0.00    0.00    1381/21954       deallocSessionObject [67]
                0.00    0.00    1384/21954       destroyq [62]
                0.00    0.00    1423/21954       overnet_kboot_th [346]
                0.00    0.00    1506/21954       destroypkt [80]
                0.00    0.00    2039/21954       overnetinifileupdate [6]
                0.00    0.00    2282/21954       Overnet_find_th [221]
                0.00    0.00    7841/21954       rbt_erase [31]
[24]     0.0    0.00    0.00   21954         KadC_free [24]
                0.00    0.00   21954/44017       KadC_realloc [21]
-----------------------------------------------
                0.00    0.00       1/21463       KadC_start [175]
                0.00    0.00       1/21463       make_kobject [180]
                0.00    0.00       1/21463       startKadEngine [186]
                0.00    0.00       7/21463       processing_thread [351]
                0.00    0.00       8/21463       kstore_new [148]
                0.00    0.00      12/21463       KadC_parsefilter [153]
                0.00    0.00      16/21463       kobject_new [147]
                0.00    0.00      27/21463       sendOvernetPublish [128]
                0.00    0.00      30/21463       local_strndup [122]
                0.00    0.00      42/21463       overnet_kboot [181]
                0.00    0.00      42/21463       emit [120]
                0.00    0.00      58/21463       DNSmsg2packet [124]
                0.00    0.00      65/21463       dns_question_parse [114]
                0.00    0.00      74/21463       dns_domain_pack [110]
                0.00    0.00     106/21463       udp_recv_thread [419]
                0.00    0.00     128/21463       new_kbucket [106]
                0.00    0.00     157/21463       rbt_new [104]
